date,volume,open,close,high,low,symbol
2008-02-29,44838544.0,129.29,125.02,130.21,124.8,AAPL
2008-03-03,56915756.0,124.44,121.73,125.98,118.0,AAPL
2008-03-04,63763682.0,121.99,124.62,124.88,120.4,AAPL
2008-03-05,43636940.0,123.58,124.4899,125.14,122.25,AAPL
2008-03-06,52631554.0,124.615,120.93,127.5,120.81,AAPL
2008-03-07,43953695.0,120.41,122.25,122.9799,119.05,AAPL
2008-03-10,35739047.0,121.98,119.69,123.46,119.37,AAPL
2008-03-11,41620902.0,124.1,127.3501,127.48,122.0,AAPL
2008-03-12,37834856.0,127.04,126.03,128.68,125.17,AAPL
2008-03-13,45149255.0,124.1,127.94,129.5,123.0,AAPL
